classificaiton,data_point_value,vocabulary_code,data_point_value_synonym,favor_more_specific
Primary CNS Histology,basal cell carcinoma (8090/3),8090/3,basal cell epithelioma,NULL
Primary CNS Histology,basal cell carcinoma (8090/3),8090/3,pigmented basal cell carcinoma,NULL
Primary CNS Histology,basal cell carcinoma (8090/3),8090/3,rodent ulcer,NULL
Primary CNS Histology,superficial basal cell carcinoma (8091/3),8091/3,multicentric basal cell carcinoma,NULL
Primary CNS Histology,superficial basal cell carcinoma (8091/3),8091/3,multifocal superficial basal cell carcinoma,NULL
Primary CNS Histology,superficial basal cell carcinoma (8091/3),8091/3,superficial basal cell carcinoma,NULL
Primary CNS Histology,infiltrating basal cell carcinoma (8092/3),8092/3,basal cell carcinoma desmoplastic type,NULL
Primary CNS Histology,infiltrating basal cell carcinoma (8092/3),8092/3,basal cell carcinoma morpheic,NULL
Primary CNS Histology,infiltrating basal cell carcinoma (8092/3),8092/3,basal cell carcinoma sarcomatoid,NULL
Primary CNS Histology,infiltrating basal cell carcinoma (8092/3),8092/3,desmoplastic type basal cell carcinoma,NULL
Primary CNS Histology,infiltrating basal cell carcinoma (8092/3),8092/3,infiltrating basal cell carcinoma,NULL
Primary CNS Histology,infiltrating basal cell carcinoma (8092/3),8092/3,infiltrating basal cell carcinoma non-sclerosing,NULL
Primary CNS Histology,infiltrating basal cell carcinoma (8092/3),8092/3,infiltrating basal cell carcinoma sclerosing,NULL
Primary CNS Histology,infiltrating basal cell carcinoma (8092/3),8092/3,morpheic basal cell carcinoma,NULL
Primary CNS Histology,infiltrating basal cell carcinoma (8092/3),8092/3,non-sclerosing infiltrating basal cell carcinoma,NULL
Primary CNS Histology,infiltrating basal cell carcinoma (8092/3),8092/3,sarcomatoid basal cell carcinoma,NULL
Primary CNS Histology,infiltrating basal cell carcinoma (8092/3),8092/3,sclerosing infiltrating basal cell carcinoma,NULL
Primary CNS Histology,"basal cell carcinoma, fibroepithelial (8093/3)",8093/3,basal cell carcinoma fibroepithelial,NULL
Primary CNS Histology,"basal cell carcinoma, fibroepithelial (8093/3)",8093/3,"basal cell carcinoma, fibroepithelial",NULL
Primary CNS Histology,"basal cell carcinoma, fibroepithelial (8093/3)",8093/3,fibroepithelial basal cell carcinoma,NULL
Primary CNS Histology,"basal cell carcinoma, fibroepithelial (8093/3)",8093/3,fibroepithelial basal cell carcinoma pinkus type,NULL
Primary CNS Histology,"basal cell carcinoma, fibroepithelial (8093/3)",8093/3,fibroepithelioma,NULL
Primary CNS Histology,"basal cell carcinoma, fibroepithelial (8093/3)",8093/3,fibroepithelioma of pinkus type,NULL
Primary CNS Histology,"basal cell carcinoma, fibroepithelial (8093/3)",8093/3,pinkus tumor,NULL
Primary CNS Histology,"basal cell carcinoma, fibroepithelial (8093/3)",8093/3,pinkus type fibroepithelial basal cell carcinoma,NULL
Primary CNS Histology,basosquamous carcinoma (8094/3),8094/3,basosquamous carcinoma,NULL
Primary CNS Histology,basosquamous carcinoma (8094/3),8094/3,mixed basal-squamous cell carcinoma,NULL
Primary CNS Histology,metatypical carcinoma (8095/3),8095/3,metatypical carcinoma,NULL
Primary CNS Histology,intraepidermal epithelioma of jadassohn (8096/0),8096/0,intraepidermal epithelioma of jadassohn,NULL
Primary CNS Histology,"basal cell carcinoma, nodular (8097/3)",8097/3,basal cell carcinoma micronodular,NULL
Primary CNS Histology,"basal cell carcinoma, nodular (8097/3)",8097/3,basal cell carcinoma nodular,NULL
Primary CNS Histology,"basal cell carcinoma, nodular (8097/3)",8097/3,"basal cell carcinoma, nodular",NULL
Primary CNS Histology,"basal cell carcinoma, nodular (8097/3)",8097/3,micronodular basal cell carcinoma,NULL
Primary CNS Histology,"basal cell carcinoma, nodular (8097/3)",8097/3,nodular basal cell carcinoma,NULL
Primary CNS Histology,trichoepithelioma (8100/0),8100/0,brooke tumor,NULL
Primary CNS Histology,trichoepithelioma (8100/0),8100/0,epithelioma adenoides cysticum,NULL
Primary CNS Histology,trichoepithelioma (8100/0),8100/0,trichoblastoma,NULL
Primary CNS Histology,trichoepithelioma (8100/0),8100/0,trichoepithelioma,NULL
Primary CNS Histology,trichoepithelioma (8100/0),8100/0,trichogerminoma,NULL
Primary CNS Histology,trichoblastic carcinoma (8100/3),8100/3,trichoblastic carcinoma,NULL
Primary CNS Histology,trichoblastic carcinoma (8100/3),8100/3,trichoblastic carcinosarcoma,NULL
Primary CNS Histology,trichofolliculoma (8101/0),8101/0,trichofolliculoma,NULL
Primary CNS Histology,trichilemmoma (8102/0),8102/0,trichilemmoma,NULL
Primary CNS Histology,trichilemmocarcinoma (8102/3),8102/3,trichilemmal carcinoma,NULL
Primary CNS Histology,trichilemmocarcinoma (8102/3),8102/3,trichilemmocarcinoma,NULL
Primary CNS Histology,pilar tumor (8103/0),8103/0,pilar tumor,NULL
Primary CNS Histology,proliferating trichilemmal cyst (8103/1),8103/1,proliferating trichilemmal cyst,NULL
Primary CNS Histology,proliferating trichilemmal cyst (8103/1),8103/1,proliferating trichilemmal tumor,NULL
Primary CNS Histology,pilar sheath acanthoma (8104/0),8104/0,pilar sheath acanthoma,NULL
Primary CNS Histology,pilar sheath acanthoma (8104/0),8104/0,tumor of the follicular infundibulum,NULL
Primary CNS Histology,pilomatricoma (8110/0),8110/0,calcifying epithelioma of malherbe,NULL
Primary CNS Histology,pilomatricoma (8110/0),8110/0,melanocytic matricoma,NULL
Primary CNS Histology,pilomatricoma (8110/0),8110/0,pilomatricoma,NULL
Primary CNS Histology,pilomatricoma (8110/0),8110/0,pilomatrixoma,NULL
Primary CNS Histology,pilomatrical carcinoma (8110/3),8110/3,malignant pilomatricoma,NULL
Primary CNS Histology,pilomatrical carcinoma (8110/3),8110/3,malignant pilomatrixoma,NULL
Primary CNS Histology,pilomatrical carcinoma (8110/3),8110/3,matrical carcinoma,NULL
Primary CNS Histology,pilomatrical carcinoma (8110/3),8110/3,pilomatrical carcinoma,NULL
Primary CNS Histology,pilomatrical carcinoma (8110/3),8110/3,pilomatricoma malignant,NULL
Primary CNS Histology,pilomatrical carcinoma (8110/3),8110/3,pilomatrix carcinoma,NULL
Primary CNS Histology,pilomatrical carcinoma (8110/3),8110/3,pilomatrixoma malignant,NULL
Primary CNS Histology,eccrine dermal cylindroma (8200/0),8200/0,cylindroma of breast,NULL
Primary CNS Histology,eccrine dermal cylindroma (8200/0),8200/0,cylindroma of skin,NULL
Primary CNS Histology,eccrine dermal cylindroma (8200/0),8200/0,eccrine dermal cylindroma,NULL
Primary CNS Histology,eccrine dermal cylindroma (8200/0),8200/0,turban tumor,NULL
Primary CNS Histology,merkel cell carcinoma (8247/3),8247/3,merkel cell carcinoma,NULL
Primary CNS Histology,merkel cell carcinoma (8247/3),8247/3,merkel cell tumor,NULL
Primary CNS Histology,merkel cell carcinoma (8247/3),8247/3,primary cutaneous neuroendocrine carcinoma,NULL
Primary CNS Histology,chromophobe adenoma (8270/0),8270/0,chromophobe adenoma,NULL
Primary CNS Histology,chromophobe carcinoma (8270/3),8270/3,chromophobe adenocarcinoma,NULL
Primary CNS Histology,chromophobe carcinoma (8270/3),8270/3,chromophobe carcinoma,NULL
Primary CNS Histology,lactotroph adenoma (8271/0),8271/0,lactotroph adenoma,NULL
Primary CNS Histology,lactotroph adenoma (8271/0),8271/0,prolactinoma,NULL
Primary CNS Histology,pituitary adenoma (8272/0),8272/0,corticotroph adenoma,NULL
Primary CNS Histology,pituitary adenoma (8272/0),8272/0,ectopic pituitary adenoma,NULL
Primary CNS Histology,pituitary adenoma (8272/0),8272/0,gonodotroph adenoma,NULL
Primary CNS Histology,pituitary adenoma (8272/0),8272/0,null cell adenoma,NULL
Primary CNS Histology,pituitary adenoma (8272/0),8272/0,pituitary adenoma,NULL
Primary CNS Histology,pituitary adenoma (8272/0),8272/0,pituitary adenoma ectopic,NULL
Primary CNS Histology,pituitary adenoma (8272/0),8272/0,plurihormonal adenoma,NULL
Primary CNS Histology,pituitary adenoma (8272/0),8272/0,somatotroph adenoma,NULL
Primary CNS Histology,pituitary adenoma (8272/0),8272/0,thyrotroph adenoma,NULL
Primary CNS Histology,pituitary carcinoma (8272/3),8272/3,pituitary carcinoma,NULL
Primary CNS Histology,pituitary blastoma (8273/3),8273/3,pituitary blastoma,NULL
Primary CNS Histology,acidophil adenoma (8280/0),8280/0,acidophil adenoma,NULL
Primary CNS Histology,acidophil adenoma (8280/0),8280/0,eosinophil adenoma,NULL
Primary CNS Histology,acidophil carcinoma (8280/3),8280/3,acidophil adenocarcinoma,NULL
Primary CNS Histology,acidophil carcinoma (8280/3),8280/3,acidophil carcinoma,NULL
Primary CNS Histology,acidophil carcinoma (8280/3),8280/3,eosinophil adenocarcinoma,NULL
Primary CNS Histology,acidophil carcinoma (8280/3),8280/3,eosinophil carcinoma,NULL
Primary CNS Histology,mixed acidophil-basophil adenoma (8281/0),8281/0,mixed acidophil-basophil adenoma,NULL
Primary CNS Histology,mixed acidophil-basophil carcinoma (8281/3),8281/3,mixed acidophil-basophil carcinoma,NULL
Primary CNS Histology,oxyphilic adenoma (8290/0),8290/0,follicular adenoma oxyphilic cell,NULL
Primary CNS Histology,oxyphilic adenoma (8290/0),8290/0,hurthle cell adenoma,NULL
Primary CNS Histology,oxyphilic adenoma (8290/0),8290/0,hurthle cell tumor,NULL
Primary CNS Histology,oxyphilic adenoma (8290/0),8290/0,oncocytic adenoma,NULL
Primary CNS Histology,oxyphilic adenoma (8290/0),8290/0,oncocytic papillary cystadenoma,NULL
Primary CNS Histology,oxyphilic adenoma (8290/0),8290/0,oncocytoma,NULL
Primary CNS Histology,oxyphilic adenoma (8290/0),8290/0,oxyphilic adenoma,NULL
Primary CNS Histology,oxyphilic adenoma (8290/0),8290/0,oxyphilic cell follicular adenoma,NULL
Primary CNS Histology,oxyphilic adenoma (8290/0),8290/0,spindle cell oncocytoma,NULL
Primary CNS Histology,basophil adenoma (8300/0),8300/0,basophil adenoma,NULL
Primary CNS Histology,basophil adenoma (8300/0),8300/0,mucoid cell adenoma,NULL
Primary CNS Histology,basophil carcinoma (8300/3),8300/3,basophil adenocarcinoma,NULL
Primary CNS Histology,basophil carcinoma (8300/3),8300/3,basophil carcinoma,NULL
Primary CNS Histology,basophil carcinoma (8300/3),8300/3,mucoid cell adenocarcinoma,NULL
Primary CNS Histology,skin appendage adenoma (8390/0),8390/0,adnexal tumor benign,NULL
Primary CNS Histology,skin appendage adenoma (8390/0),8390/0,benign adnexal tumor,NULL
Primary CNS Histology,skin appendage adenoma (8390/0),8390/0,benign skin appendage tumor,NULL
Primary CNS Histology,skin appendage adenoma (8390/0),8390/0,skin appendage adenoma,NULL
Primary CNS Histology,skin appendage adenoma (8390/0),8390/0,skin appendage tumor benign,NULL
Primary CNS Histology,adnexal adenocarcinoma (8390/3),8390/3,adnexal adenocarcinoma,NULL
Primary CNS Histology,adnexal adenocarcinoma (8390/3),8390/3,adnexal carcinoma,NULL
Primary CNS Histology,adnexal adenocarcinoma (8390/3),8390/3,skin appendage carcinoma,NULL
Primary CNS Histology,follicular fibroma (8391/0),8391/0,fibrofolliculoma,NULL
Primary CNS Histology,follicular fibroma (8391/0),8391/0,follicular fibroma,NULL
Primary CNS Histology,follicular fibroma (8391/0),8391/0,perifollicular fibroma,NULL
Primary CNS Histology,follicular fibroma (8391/0),8391/0,spindle cell predominant trichodiscoma,NULL
Primary CNS Histology,follicular fibroma (8391/0),8391/0,trichodiscoma,NULL
Primary CNS Histology,syringofibroadenoma (8392/0),8392/0,syringofibroadenoma,NULL
Primary CNS Histology,sweat gland adenoma (8400/0),8400/0,benign sweat gland tumor,NULL
Primary CNS Histology,sweat gland adenoma (8400/0),8400/0,sweat gland adenoma,NULL
