"classificaiton","data_point_value","vocabulary_code","data_point_value_synonym","favor_more_specific"
"Primary CNS Site","brain stem (c71.7)","C71.7","pyramid",NULL
"Primary CNS Site","brain stem (c71.7)","C71.7","tectal",NULL
"Primary CNS Site","overlapping lesion of brain (c71.8)","C71.8","corpus callosum",NULL
"Primary CNS Site","overlapping lesion of brain (c71.8)","C71.8","overlapping lesion of brain",NULL
"Primary CNS Site","overlapping lesion of brain (c71.8)","C71.8","splenium",NULL
"Primary CNS Site","overlapping lesion of brain (c71.8)","C71.8","tapetum",NULL
"Primary CNS Site","brain (c71.9)","C71.9","anterior cranial fossa",True
"Primary CNS Site","brain (c71.9)","C71.9","brain",True
"Primary CNS Site","brain (c71.9)","C71.9","caudate",True
"Primary CNS Site","brain (c71.9)","C71.9","cranial base",True
"Primary CNS Site","brain (c71.9)","C71.9","cranial fossa",True
"Primary CNS Site","brain (c71.9)","C71.9","fossa",True
"Primary CNS Site","brain (c71.9)","C71.9","intracranial site",True
"Primary CNS Site","brain (c71.9)","C71.9","middle cranial fossa",True
"Primary CNS Site","brain (c71.9)","C71.9","posterior cranial fossa",True
"Primary CNS Site","brain (c71.9)","C71.9","posterior fossa",True
"Primary CNS Site","brain (c71.9)","C71.9","suprasellar",True
"Primary CNS Site","spinal cord (c72.0)","C72.0","c1",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","c2",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","c3",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","c4",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","c5",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","c6",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","c7",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","cervical",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","cervical cord",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","conus medullaris",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","filum terminale",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","l1",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","l2",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","l3",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","l4",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","lumbar",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","lumbar cord",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","medullary",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","paraspinal",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","presacral",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","s1",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","s2",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","s3",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","s4",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","s5",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","sacral",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","sacral cord",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","spinal canal",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","spinal cord",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","spinal fusion",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","spinal tumor",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","t1",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","t10",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","t11",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","t12",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","t2",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","t3",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","t4",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","t5",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","t6",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","t7",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","t8",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","t9",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","thoracic",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","thoracic cord",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","vertebrae",NULL
"Primary CNS Site","spinal cord (c72.0)","C72.0","vertebral",NULL
"Primary CNS Site","cauda equina (c72.1)","C72.1","cauda equina",NULL
"Primary CNS Site","olfactory nerve (c72.2)","C72.2","olfactory nerve",NULL
"Primary CNS Site","optic nerve (c72.3)","C72.3","optic chiasm",NULL
"Primary CNS Site","optic nerve (c72.3)","C72.3","optic nerve",NULL
"Primary CNS Site","optic nerve (c72.3)","C72.3","optic tract",NULL
"Primary CNS Site","acoustic nerve (c72.4)","C72.4","acoustic nerve",NULL
"Primary CNS Site","cranial nerve (c72.5)","C72.5","abducens nerve",NULL
"Primary CNS Site","cranial nerve (c72.5)","C72.5","accessory nerve",NULL
"Primary CNS Site","cranial nerve (c72.5)","C72.5","cranial nerve",NULL
"Primary CNS Site","cranial nerve (c72.5)","C72.5","facial nerve",NULL
"Primary CNS Site","cranial nerve (c72.5)","C72.5","glossopharyngeal nerve",NULL
"Primary CNS Site","cranial nerve (c72.5)","C72.5","hypoglossal nerve",NULL
"Primary CNS Site","cranial nerve (c72.5)","C72.5","oculomotor nerve",NULL
"Primary CNS Site","cranial nerve (c72.5)","C72.5","spinal accessory nerve",NULL
"Primary CNS Site","cranial nerve (c72.5)","C72.5","trigeminal nerve",NULL
"Primary CNS Site","cranial nerve (c72.5)","C72.5","trochlear nerve",NULL
"Primary CNS Site","cranial nerve (c72.5)","C72.5","vagus nerve",NULL
"Primary CNS Site","overlapping lesion of brain and central nervous system (c72.8)","C72.8","overlapping lesion of brain and central nervous system",NULL
"Primary CNS Site","nervous system (c72.9)","C72.9","central nervous system",NULL
"Primary CNS Site","nervous system (c72.9)","C72.9","epidural",NULL
"Primary CNS Site","nervous system (c72.9)","C72.9","extradural",NULL
"Primary CNS Site","nervous system (c72.9)","C72.9","nervous system",NULL
"Primary CNS Site","nervous system (c72.9)","C72.9","parasellar",NULL
"Primary CNS Site","pituitary gland (c75.1)","C75.1","hypophysis",NULL
"Primary CNS Site","pituitary gland (c75.1)","C75.1","pituitary",NULL
"Primary CNS Site","pituitary gland (c75.1)","C75.1","pituitary fossa",NULL
"Primary CNS Site","pituitary gland (c75.1)","C75.1","pituitary gland",NULL
"Primary CNS Site","pituitary gland (c75.1)","C75.1","pitutiary",NULL
"Primary CNS Site","pituitary gland (c75.1)","C75.1","rathke pouch",NULL
"Primary CNS Site","pituitary gland (c75.1)","C75.1","sella turcica",NULL
"Primary CNS Site","craniopharyngeal duct (c75.2)","C75.2","craniopharyngeal duct",NULL
"Primary CNS Site","pineal gland (c75.3)","C75.3","pineal",NULL
"Primary CNS Site","pineal gland (c75.3)","C75.3","pineal gland",NULL
"Primary Site","external upper lip (c00.0)","C00.0","external upper lip",NULL
"Primary Site","external upper lip (c00.0)","C00.0","skin of upper lip",NULL
"Primary Site","external upper lip (c00.0)","C00.0","upper lip",NULL
"Primary Site","external upper lip (c00.0)","C00.0","vermilion border of upper lip",NULL
"Primary Site","external lower lip (c00.1)","C00.1","external lower lip",NULL
"Primary Site","external lower lip (c00.1)","C00.1","lower lip",NULL
"Primary Site","external lower lip (c00.1)","C00.1","skin of lower lip",NULL
"Primary Site","external lower lip (c00.1)","C00.1","vermilion border of lower lip",NULL
"Primary Site","external lip (c00.2)","C00.2","external lip",NULL
"Primary Site","mucosa of upper lip (c00.3)","C00.3","frenulum of upper lip",NULL
"Primary Site","mucosa of upper lip (c00.3)","C00.3","mucosa of upper lip",NULL
"Primary Site","mucosa of lower lip (c00.4)","C00.4","frenulum of lower lip",NULL
"Primary Site","mucosa of lower lip (c00.4)","C00.4","inner aspect of lower lip",NULL
"Primary Site","mucosa of lower lip (c00.4)","C00.4","mucosa of lower lip",NULL
"Primary Site","mucosa of lip (c00.5)","C00.5","frenulum labii",NULL
"Primary Site","mucosa of lip (c00.5)","C00.5","frenulum of lip",NULL
"Primary Site","mucosa of lip (c00.5)","C00.5","inner aspect of lip",NULL
"Primary Site","mucosa of lip (c00.5)","C00.5","internal lip",NULL
"Primary Site","mucosa of lip (c00.5)","C00.5","mucosa of lip",NULL
"Primary Site","commissure of lip (c00.6)","C00.6","commissure of lip",NULL
"Primary Site","commissure of lip (c00.6)","C00.6","labial commissure",NULL
"Primary Site","overlapping lesion of lip (c00.8)","C00.8","overlapping lesion of lip",NULL
"Primary Site","lip (c00.9)","C00.9","lip",NULL
"Primary Site","base of tongue (c01.9)","C01.9","base of tongue",NULL
"Primary Site","base of tongue (c01.9)","C01.9","dorsal surface of base of tongue",NULL
"Primary Site","base of tongue (c01.9)","C01.9","posterior third of tongue",NULL
"Primary Site","base of tongue (c01.9)","C01.9","posterior tongue",NULL
"Primary Site","base of tongue (c01.9)","C01.9","root of tongue",NULL
"Primary Site","dorsal surface of tongue (c02.0)","C02.0","anterior 2/3 of tongue dorsal surface",NULL
"Primary Site","dorsal surface of tongue (c02.0)","C02.0","dorsal surface anterior 2/3 of tongue",NULL
"Primary Site","dorsal surface of tongue (c02.0)","C02.0","dorsal surface of anterior tongue",NULL
"Primary Site","dorsal surface of tongue (c02.0)","C02.0","dorsal surface of tongue",NULL
"Primary Site","dorsal surface of tongue (c02.0)","C02.0","midline of tongue",NULL
"Primary Site","border of tongue (c02.1)","C02.1","border of tongue",NULL
"Primary Site","border of tongue (c02.1)","C02.1","tip of tongue",NULL
"Primary Site","ventral surface of tongue (c02.2)","C02.2","anterior 2/3 of tongue ventral surface",NULL
"Primary Site","ventral surface of tongue (c02.2)","C02.2","frenulum linguae",NULL
"Primary Site","ventral surface of tongue (c02.2)","C02.2","ventral surface anterior 2/3 of tongue",NULL
"Primary Site","ventral surface of tongue (c02.2)","C02.2","ventral surface of anterior tongue",NULL
"Primary Site","ventral surface of tongue (c02.2)","C02.2","ventral surface of tongue",NULL
"Primary Site","anterior 2/3 of tongue (c02.3)","C02.3","anterior 2/3 of tongue",NULL
"Primary Site","anterior 2/3 of tongue (c02.3)","C02.3","anterior tongue",NULL
"Primary Site","lingual tonsil (c02.4)","C02.4","lingual tonsil",NULL
"Primary Site","overlapping lesion of tongue (c02.8)","C02.8","junctional zone of tongue",NULL
"Primary Site","overlapping lesion of tongue (c02.8)","C02.8","overlapping lesion of tongue",NULL
"Primary Site","tongue (c02.9)","C02.9","lingual",NULL
"Primary Site","tongue (c02.9)","C02.9","tongue",NULL
"Primary Site","upper gum (c03.0)","C03.0","upper alveolar mucosa",NULL
"Primary Site","upper gum (c03.0)","C03.0","upper alveolar ridge mucosa",NULL
"Primary Site","upper gum (c03.0)","C03.0","upper alveolus",NULL
"Primary Site","upper gum (c03.0)","C03.0","upper gingiva",NULL
"Primary Site","upper gum (c03.0)","C03.0","upper gum",NULL
"Primary Site","lower gum (c03.1)","C03.1","lower alveolar mucosa",NULL
"Primary Site","lower gum (c03.1)","C03.1","lower alveolar ridge mucosa",NULL
"Primary Site","lower gum (c03.1)","C03.1","lower alveolus",NULL
"Primary Site","lower gum (c03.1)","C03.1","lower gingiva",NULL
"Primary Site","lower gum (c03.1)","C03.1","lower gum",NULL
"Primary Site","gum (c03.9)","C03.9","alveolar mucosa",NULL
"Primary Site","gum (c03.9)","C03.9","alveolar ridge mucosa",NULL
"Primary Site","gum (c03.9)","C03.9","alveolus",NULL
"Primary Site","gum (c03.9)","C03.9","gum",NULL
"Primary Site","gum (c03.9)","C03.9","periodontal tissue",NULL
"Primary Site","gum (c03.9)","C03.9","tooth socket",NULL
"Primary Site","anterior floor of mouth (c04.0)","C04.0","anterior floor of mouth",NULL
"Primary Site","lateral floor of mouth (c04.1)","C04.1","lateral floor of mouth",NULL
"Primary Site","overlapping lesion of floor of mouth (c04.8)","C04.8","overlapping lesion of floor of mouth",NULL
"Primary Site","floor of mouth (c04.9)","C04.9","floor of mouth",NULL
"Primary Site","hard palate (c05.0)","C05.0","hard palate",NULL
"Primary Site","soft palate (c05.1)","C05.1","soft palate",NULL
"Primary Site","uvula (c05.2)","C05.2","uvula",NULL
"Primary Site","overlapping lesion of palate (c05.8)","C05.8","junction of hard and soft palate",NULL
"Primary Site","overlapping lesion of palate (c05.8)","C05.8","overlapping lesion of palate",NULL
"Primary Site","palate (c05.9)","C05.9","palate",NULL
"Primary Site","palate (c05.9)","C05.9","roof of mouth",NULL
"Primary Site","cheek mucosa (c06.0)","C06.0","buccal mucosa",NULL
"Primary Site","cheek mucosa (c06.0)","C06.0","cheek mucosa",NULL
"Primary Site","cheek mucosa (c06.0)","C06.0","internal cheek",NULL
"Primary Site","vestibule of mouth (c06.1)","C06.1","buccal sulcus",NULL
"Primary Site","vestibule of mouth (c06.1)","C06.1","labial sulcus",NULL
"Primary Site","vestibule of mouth (c06.1)","C06.1","vestibule of mouth",NULL
"Primary Site","retromolar area (c06.2)","C06.2","retromolar area",NULL
"Primary Site","retromolar area (c06.2)","C06.2","retromolar triangle",NULL
"Primary Site","retromolar area (c06.2)","C06.2","retromolar trigone",NULL
"Primary Site","overlapping lesion of other and unspecified parts of mouth (c06.8)","C06.8","overlapping lesion of other and unspecified parts of mouth",NULL
"Primary Site","mouth (c06.9)","C06.9","buccal cavity",NULL
"Primary Site","mouth (c06.9)","C06.9","minor salivary gland",NULL
"Primary Site","mouth (c06.9)","C06.9","mouth",NULL
"Primary Site","mouth (c06.9)","C06.9","oral cavity",NULL
"Primary Site","mouth (c06.9)","C06.9","oral mucosa",NULL
"Primary Site","parotid gland (c07.9)","C07.9","parotid",NULL
"Primary Site","parotid gland (c07.9)","C07.9","parotid gland",NULL
"Primary Site","parotid gland (c07.9)","C07.9","parotid gland duct",NULL
"Primary Site","parotid gland (c07.9)","C07.9","stensen duct",NULL
"Primary Site","submandibular gland (c08.0)","C08.0","submandibular gland",NULL
"Primary Site","submandibular gland (c08.0)","C08.0","submaxillary gland",NULL
"Primary Site","submandibular gland (c08.0)","C08.0","submaxillary gland duct",NULL
"Primary Site","submandibular gland (c08.0)","C08.0","wharton duct",NULL
"Primary Site","sublingual gland (c08.1)","C08.1","sublingual gland",NULL
"Primary Site","sublingual gland (c08.1)","C08.1","sublingual gland duct",NULL
"Primary Site","overlapping lesion of major salivary glands (c08.8)","C08.8","overlapping lesion of major salivary glands",NULL
"Primary Site","major salivary gland (c08.9)","C08.9","major salivary gland",NULL
"Primary Site","major salivary gland (c08.9)","C08.9","minor salivary gland",NULL
"Primary Site","major salivary gland (c08.9)","C08.9","salivary gland",NULL
"Primary Site","tonsillar fossa (c09.0)","C09.0","tonsillar fossa",NULL
"Primary Site","tonsillar pillar (c09.1)","C09.1","faucial pillar",NULL
"Primary Site","tonsillar pillar (c09.1)","C09.1","glossopalatine fold",NULL
"Primary Site","tonsillar pillar (c09.1)","C09.1","tonsillar pillar",NULL
"Primary Site","overlapping lesion of tonsil (c09.8)","C09.8","overlapping lesion of tonsil",NULL
"Primary Site","tonsil (c09.9)","C09.9","faucial tonsil",NULL
"Primary Site","tonsil (c09.9)","C09.9","palatine tonsil",NULL
"Primary Site","tonsil (c09.9)","C09.9","tonsil",NULL
"Primary Site","vallecula (c10.0)","C10.0","vallecula",NULL
"Primary Site","anterior surface of epiglottis (c10.1)","C10.1","anterior surface of epiglottis",NULL
"Primary Site","lateral wall of oropharynx (c10.2)","C10.2","lateral wall of mesopharynx",NULL
"Primary Site","lateral wall of oropharynx (c10.2)","C10.2","lateral wall of oropharynx",NULL
"Primary Site","posterior wall of oropharynx (c10.3)","C10.3","posterior wall of mesopharynx",NULL
"Primary Site","posterior wall of oropharynx (c10.3)","C10.3","posterior wall of oropharynx",NULL
"Primary Site","branchial cleft (c10.4)","C10.4","branchial cleft",NULL
"Primary Site","overlapping lesion of oropharynx (c10.8)","C10.8","junctional region of oropharynx",NULL
"Primary Site","overlapping lesion of oropharynx (c10.8)","C10.8","overlapping lesion of oropharynx",NULL
"Primary Site","oropharynx (c10.9)","C10.9","fauces",NULL
"Primary Site","oropharynx (c10.9)","C10.9","mesopharynx",NULL
"Primary Site","oropharynx (c10.9)","C10.9","oropharynx",NULL
"Primary Site","superior wall of nasopharynx (c11.0)","C11.0","roof of nasopharynx",NULL
"Primary Site","superior wall of nasopharynx (c11.0)","C11.0","superior wall of nasopharynx",NULL
"Primary Site","posterior wall of nasopharynx (c11.1)","C11.1","adenoid",NULL
"Primary Site","posterior wall of nasopharynx (c11.1)","C11.1","pharyngeal tonsil",NULL
"Primary Site","posterior wall of nasopharynx (c11.1)","C11.1","posterior wall of nasopharynx",NULL
"Primary Site","lateral wall of nasopharynx (c11.2)","C11.2","fossa of rosenmuller",NULL
"Primary Site","lateral wall of nasopharynx (c11.2)","C11.2","lateral wall of nasopharynx",NULL
"Primary Site","anterior wall of nasopharynx (c11.3)","C11.3","anterior wall of nasopharynx",NULL
"Primary Site","anterior wall of nasopharynx (c11.3)","C11.3","choana",NULL
"Primary Site","anterior wall of nasopharynx (c11.3)","C11.3","nasopharyngeal surface of soft palate",NULL
"Primary Site","anterior wall of nasopharynx (c11.3)","C11.3","pharyngeal fornix",NULL
"Primary Site","anterior wall of nasopharynx (c11.3)","C11.3","posterior margin of nasal septum",NULL
"Primary Site","overlapping lesion of nasopharynx (c11.8)","C11.8","overlapping lesion of nasopharynx",NULL
"Primary Site","nasopharynx (c11.9)","C11.9","nasopharyngeal wall",NULL
"Primary Site","nasopharynx (c11.9)","C11.9","nasopharynx",NULL
"Primary Site","pyriform sinus (c12.9)","C12.9","piriform fossa",NULL
"Primary Site","pyriform sinus (c12.9)","C12.9","piriform sinus",NULL
